|                                         2024년도(9/23\~10/20까지)                                                               /                                        9/23\~9/29                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |                                         2024년도(9/23\~10/20까지)                                                                |
|  | 건보추나 |  | ta추나 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 |  | 입원침 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2026.3/30\~ 2026.4/5 | 당일예약 수 | 152 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 79 | ta침 | 46 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 24 | ta추나 | 42 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 19 | 입원침 | 15 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         4/6\~4/12                                                                |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 4월 6일 | 당일예약 수 | 22 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 | 12 | ta침 | 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 2 | ta추나 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 5 | 입원침 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2024.10/14\~10/20결산 | 건보침 | 67 | ta침 | 24 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 31 | ta추나 | 21 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 3 | 입원침 | 9 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         2025년도(2/24\~26.1.4까지)                                                              |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         2/24\~3/2                                                               |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 2월 24일 | 당일예약 수 | 20 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 | 16 | ta침 | 8 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 7 | ta추나 | 7 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 |  | 입원침 | 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2025.1/5\~ 2026.1/11 | 당일예약 수 | 142 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 84 | ta침 | 51 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 27 | ta추나 | 40 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 16 | 입원침 | 4 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         1/12\~1/18                                                                |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 1월 12일 | 당일예약 수 | 15 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 | 11 | ta침 | 4 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 2 | ta추나 | 3 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 3 | 입원침 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2026.4/20\~ 2026.4/26 | 당일예약 수 | 132 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 93 | ta침 | 39 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 19 | ta추나 | 32 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 12 | 입원침 | 7 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         4/27\~5/3                                                               |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 4월 27일 | 당일예약 수 | 21 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 | 12 | ta침 | 3 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 1 | ta추나 | 3 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 2 | 입원침 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2025.2/2\~ 2026.2/8 | 당일예약 수 | 125 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 79 | ta침 | 26 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 35 | ta추나 | 18 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 15 | 입원침 | 7 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         2/9\~2/15                                                                |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 2월 9일 | 당일예약 수 | 18 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 | 15 | ta침 | 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 4 | ta추나 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 3 | 입원침 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2025.12/29\~ 2026.1/4 | 당일예약 수 | 116 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 69 | ta침 | 39 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 26 | ta추나 | 29 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 10 | 입원침 | 7 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         2026년도(1/5\~까지)                                                                |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         1/5\~1/11                                                                |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 1월 5일 | 당일예약 수 | 16 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 | 10 | ta침 | 5 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 5 | ta추나 | 4 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 3 | 입원침 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2026.3/9\~ 2026.3/15 | 당일예약 수 | 133 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 87 | ta침 | 39 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 23 | ta추나 | 37 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 10 | 입원침 | 9 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         3/16\~3/22                                                                |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 3월 16일 | 당일예약 수 | 17 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 | 12 | ta침 | 3 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 4 | ta추나 | 3 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 4 | 입원침 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2026.4/27\~ 2026.5/3 | 당일예약 수 | 46 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 37 | ta침 | 19 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 17 | ta추나 | 15 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 |  | 입원침 | 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         5/4\~5/10                                                             |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 5월 4일 | 당일예약 수 | 28 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 | 18 | ta침 | 8 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 7 | ta추나 | 5 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 |  | 입원침 | 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2026.5/4\~ 2026.5/10 | 당일예약 수 | 134 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 66 | ta침 | 51 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 29 | ta추나 | 42 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 3 | 입원침 | 17 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         5/11\~5/17                                                             |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 5월 11일 | 당일예약 수 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 |  | ta침 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 |  | ta추나 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 |  | 입원침 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| 4월 27일 | 당일예약 수 |  |  |
| :-: | :-: | :-: | :-: |
| 월 | 건보침 | 2 | ta침 |
|  | 건보추나 | 2 | ta추나 |
|  | 상담 |  | 입원침 |

| 4월 20일 | 당일예약 수 | 1 |  |
| :-: | :-: | :-: | :-: |
| 월 | 건보침 | 5 | ta침 |
|  | 건보추나 |  | ta추나 |
|  | 상담 |  | 입원침 |

|                                         5/11\~5/17                                                             | 상담 | 상담 | 입원침 | 입원침 | 입원침 | 입원침 | 입원침 | 입원침 | 입원침 | 입원침 | 입원침 | 입원침 | 입원침 | 입원침 | 입원침 | 입원침 | 입원침 | 입원침 | 입원침 | 입원침 | 입원침 | 입원침 | 입원침 | 입원침 | 입원침 |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 5월 11일 | 당일예약 수 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 |  | ta침 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 |  | ta추나 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 |  | 입원침 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |

| NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER | NO\_HEADER |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| 2026.4/20\~ 2026.4/26 | 당일예약 수 | 4 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 28 | ta침 | 3 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 12 | ta추나 | 4 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 |  | 입원침 | 3 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         4/27\~5/3                                                               |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 4월 27일 | 당일예약 수 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 | 7 | ta침 | 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 2 | ta추나 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 1 | 입원침 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 4월 28일 | 당일예약 수 | 27 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 화 | 건보침 | 16 | ta침 | 10 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 5 | ta추나 | 9 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 |  | 입원침 | 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 4월 29일 | 당일예약 수 | 22 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 수 | 건보침 | 11 | ta침 | 13 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 1 | ta추나 | 10 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 1 | 입원침 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 4월 30일 | 당일예약 수 | 30 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 목 | 건보침 | 20 | ta침 | 9 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 6 | ta추나 | 10 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 |  | 입원침 | 3 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 5월 3일 | 당일예약 수 | 27 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 일 | 건보침 | 21 | ta침 | 6 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 4 | ta추나 | 5 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 1 | 입원침 | 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 2026.4/27\~ 2026.5/3 | 당일예약 수 | 106 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 결산 | 건보침 | 75 | ta침 | 40 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 18 | ta추나 | 35 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 3 | 입원침 | 8 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|                                         5/4\~5/10                                                             |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 5월 4일 | 당일예약 수 | 26 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 월 | 건보침 | 22 | ta침 | 10 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 7 | ta추나 | 10 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 | 1 | 입원침 | 3 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 5월 5일 | 당일예약 수 | 24 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 화 | 건보침 | 20 | ta침 | 4 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 5 | ta추나 | 3 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 |  | 입원침 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 5월 6일 | 당일예약 수 | 22 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 수 | 건보침 | 8 | ta침 | 11 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 1 | ta추나 | 7 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 상담 |  | 입원침 | 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 5월 7일 | 당일예약 수 | 39 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 목 | 건보침 | 22 | ta침 | 10 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  | 건보추나 | 9 | ta추나 | 11 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
